,INPUT 1- Gender,INPUT 2- Age,Current Studying,Percentage Marks,Foreign Languages Known,Dont want to be?,Hobbies,PARAM 1,PARAM 2,PARAM 3,PARAM 4,PARAM 5,PARAM 6,PARAM 7,PARAM 8,PARAM 9,PARAM 10,PARAM 11,PARAM 12,PARAM 13,PARAM 14,PARAM 15,PARAM 16,OUTPUT 1,OUTPUT 2,OUTPUT 3,OUTPUT 4,OUTPUT 5,OUTPUT 6,OUTPUT 7,OUTPUT 8,OUTPUT 9,OUTPUT 10,OUTPUT 11,OUTPUT 12,OUTPUT 13,OUTPUT 14,OUTPUT 15,OUTPUT 16,OUTPUT 17,OUTPUT 18,OUTPUT 19,OUTPUT 20,OUTPUT 35,OUTPUT 36,OUTPUT 37,OUTPUT 38,OUTPUT 39,OUTPUT 40,OUTPUT 41,OUTPUT 21,OUTPUT 22,OUTPUT 23,OUTPUT 24,OUTPUT 25,OUTPUT 26,OUTPUT 27,OUTPUT 28,OUTPUT 29,OUTPUT 30,OUTPUT 31,OUTPUT 32,OUTPUT 33,OUTPUT 34,OUTPUT 42,OUTPUT 43,OUTPUT 44,OUTPUT 45,OUTPUT 46,OUTPUT 47,OUTPUT 48,OUTPUT 49,OUTPUT 50,OUTPUT 51,OUTPUT 52,OUTPUT 53,OUTPUT 54,OUTPUT 55,OUTPUT 56,OUTPUT 57,,,,,,,,,,,,,,,
21,Female,17.3,XII Science,59.2,French,engineer,"blogging,photography",66,66,66,66,42,20,80,30,30,80,80,60,0,0,0,0,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,,0.48,0.48,0.48,,,0.48,0.48,,,,,,,0.45,0.51,0.49,0.47,0.13,0.35,0.11,0.49,0.12,0.11,0.45,0.29,0.12,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Male,16.1,,,,,,11,55,88,55,100,40,100,30,20,100,90,50,0,0,0,0,0.21,0.3,,0.31,0.13,0.19,0.07,0.24,0.22,0.28,,0.4,0.16,,0.35,0.2,0.31,,,0.21,,,,0.13,,0.27,,0.41,0.39,0.37,0.43,0.23,0.41,0.2,0.53,0.23,0.19,0.42,0.21,0.2,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Male,16.2,11th standard,,German,Preferably an engineer,"Organization, horse riding, painting",55,33,22,44,57,60,80,30,30,90,90,35,0,0,0,0,0.17,0.53,,0.26,0.13,0.22,0.32,0.12,0.23,0.23,,0.35,0.32,,0.31,0.32,0.26,,,0.24,,,,0.3,,0.14,,0.35,0.23,0.28,0.26,0.47,0.31,0.49,0.17,0.48,0.48,0.27,0.23,0.49,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Female,16.4,Given the SSC Board Examination,,,"Engineer, doctor and architect",Reading  and group discussions,77,44,44,22,0,40,20,80,10,70,80,60,0,0,0,0,0.23,0.41,,0.27,0.32,0.26,0.3,0.11,0.26,0.27,,0.25,0.26,,0.24,0.24,0.27,,,0.25,,,,0.22,,0.26,,0.3,0.31,0.32,0.22,0.34,0.15,0.34,0.13,0.32,0.33,0.23,0.23,0.32,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Male,16.4,appeared for 10th,87( 9th),german,,"reading books , writing",11,44,22,33,71,60,60,10,60,70,80,65,0,0,0,0,0.16,0.4,,0.37,0.04,0.26,0.36,0.14,0.2,0.09,,0.32,0.3,,0.4,0.33,0.37,,,0.23,,,,0.34,,0.15,,0.32,0.14,0.16,0.15,0.5,0.32,0.51,0.17,0.52,0.52,0.25,0.19,0.49,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Male,14.5,10th standard.,Last year i got   67.50%,"no, but trying to learn from a app.",confused with this question.,I like to play games and  like to do projects like making car simulator.,44,88,77,88,42,80,20,30,60,100,70,35,0,0,0,0,0.31,0.45,,,0.43,,0.1,0.3,0.27,0.32,0.2,0.34,0.17,,0.2,0.16,0.21,,,0.4,,,,,,0.59,,0.43,0.38,0.23,0.4,0.15,0.41,0.14,0.6,0.18,0.17,0.38,0.23,0.21,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Female,16.2,,,,"I don`t want to go to commerce,neither a doctor nor an engineer","skating ,drawing and science field mainly biology",77,44,55,33,57,60,100,10,40,70,80,30,0,0,0,0,0.14,0.53,,0.21,0.15,0.24,0.32,0.18,0.17,0.36,,0.31,0.28,,0.28,0.27,0.21,,,0.3,,,,0.32,,0.14,,0.26,0.33,0.31,0.39,0.37,0.19,0.37,0.28,0.36,0.37,0.25,0.19,0.36,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Male,15.7,Finished std 10,71.8,,Doctor and Engineer,cooking,77,77,22,77,42,60,60,30,40,20,70,40,0,0,0,0,0.22,0.39,,0.13,0.39,0.27,0.06,0.2,0.21,0.26,,0.31,0.16,,0.2,0.28,0.13,,,0.41,,,,0.16,,0.49,,0.48,0.38,0.38,0.39,0.26,0.51,0.27,0.4,0.33,0.31,0.44,0.35,0.32,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Female,15.5,10th,result awaited,,Engineer,Badminton,77,55,88,77,14,20,20,40,50,60,90,20,0,0,0,0,0.2,0.36,,0.12,0.46,0.2,0.08,0.3,0.21,0.39,,0.34,0.13,,0.08,0.18,0.12,,,0.46,,,,0.13,,0.56,,0.4,0.53,0.48,0.5,0.07,0.28,0.06,0.51,0.05,0.04,0.4,0.26,0.08,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Male,15.8,Appeared for 10th Exam,NA,NA,Engineering,"Sports, Computer games",22,44,22,66,0,60,40,40,40,70,80,35,0,0,0,0,0.17,0.44,,0.33,0.36,0.11,0.22,0.16,0.23,0.08,,0.29,0.31,,0.24,0.19,0.33,,,0.34,,,,0.22,,0.53,,0.34,0.16,0.15,0.16,0.28,0.3,0.29,0.23,0.26,0.26,0.23,0.19,0.36,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Male,17.1,XII,,,,,11,66,55,44,0,40,40,50,30,40,80,75,0,0,0,0,0.22,0.2,,0.33,0.23,0.37,0.13,0.22,0.22,0.17,,0.27,0.13,,0.29,0.13,0.33,,,0.24,,,,0.17,,0.32,,0.29,0.29,0.17,0.15,0.17,0.19,0.16,0.34,0.17,0.2,0.25,0.17,0.15,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Male,14.9,10th,76%,French,Cricketer,"algebra, drawing ",55,66,22,55,71,20,100,30,20,100,80,60,0,0,0,0,0.35,0.38,,,0.27,,0.08,0.27,0.38,0.25,0.12,0.37,0.18,,0.3,0.4,0.22,,,0.31,,,,,,0.31,,0.56,0.4,0.49,0.36,0.29,0.51,0.28,0.36,0.34,0.31,0.51,0.34,0.28,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Male,17.8,12th pass,93.5%,English,,"table tennis , Origami,maths",33,88,55,22,14,60,60,30,40,70,80,75,0,0,0,0,0.23,0.27,0.16,0.26,0.2,0.45,0.17,0.2,0.21,0.2,0.14,0.24,0.11,0.39,0.28,0.19,0.26,,0.24,0.25,,,,,,,,0.3,0.27,0.08,0.16,0.25,0.23,0.24,0.36,0.29,0.33,0.24,0.19,0.22,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Male,19.4,12th,,German,,"Automobile Technology, Aviation",0,55,77,88,14,60,80,20,40,60,80,65,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,0.32,0.17,0.32,0.13,0.31,0.11,0.51,0.11,0.11,0.28,0.2,0.18,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Male,17.11,12 passed,94.46,,doctor ,Wildlife photography and astronomical observations ,33,33,33,0,28,80,60,40,30,100,50,30,0,0,0,0,0.2,0.45,0.11,0.31,0.15,0.29,0.36,0.06,0.2,0.13,0.18,0.16,0.24,0.06,0.36,0.2,0.31,,0.34,0.2,,,,,,,,0.24,0.09,0.08,0.09,0.5,0.2,0.51,0.1,0.51,0.54,0.15,0.12,0.51,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Male,16.7,I have just passed my 10th standard,92%,Only English,A doctor,Drawing & Reading,55,22,22,11,85,80,40,40,40,70,80,50,0,0,0,0,0.16,0.54,,0.28,0.09,0.29,0.39,0.08,0.19,0.26,,0.32,0.31,,0.37,0.38,0.28,,,0.2,,,,0.36,,0.08,,0.3,0.2,0.28,0.28,0.6,0.33,0.61,0.13,0.62,0.62,0.27,0.22,0.6,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Male,21.2,B.E. (Mechanical),65%,German (basic),,"Hobbies - Reading, Photography, Flight Simulator, Aeromodelling, Arduino Mini-projects, Play online games, Android modifications

Interests - Aviation, Automobiles, Robotics",77,55,33,22,100,60,100,20,30,30,0,70,0,0,0,0,0.15,0.35,0.01,0.17,0.1,0.34,0.16,0.11,0.16,0.26,0.11,0.09,0.11,0.27,0.33,0.37,0.17,0.34,0.25,0.22,,,,,,,,0.39,0.32,0.36,0.36,0.49,0.43,0.49,0.27,0.57,0.57,0.39,0.31,0.45,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Female,21.1,Completed BA Psychology Degree Course,Awaiting results,German- A1 & A2,,"Reading, writing, playing the flute, running, and doing yoga.",33,44,55,0,28,80,120,20,20,20,80,85,0,0,0,0,0.15,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,,0.31,0.31,0.31,0.31,0.31,0.31,,0.31,0.31,0.31,0.31,0.31,0.31,0.31,,,0.12,0.19,0.08,0.17,0.42,0.11,0.4,0.21,0.39,0.43,0.14,0.12,0.39,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Male,15.7,,81.6%,German,Anything related to pure science,Cricket and gaming,55,55,11,66,57,40,40,40,40,100,70,30,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,0.36,0.45,0.35,0.28,0.51,0.29,0.34,0.34,0.31,0.47,0.31,0.32,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Male,14.9,Jnana Prabodhini Prashala,62.5 %,,Doctor,"Sports, Chemical Engineering",55,100,77,88,57,0,20,30,60,100,80,80,0,0,0,0,0.4,0.32,,,0.39,,0.1,0.39,0.39,0.39,0.12,0.39,0.2,,0.16,0.36,0.18,,,0.4,,,,,,0.47,,0.57,0.59,0.57,0.53,0.13,0.47,0.11,0.63,0.13,0.12,0.57,0.36,0.08,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Male,21.4,BCOM,71,,"Do not want to go into the legal field,economics field.","Reading books,listening to music.",66,55,44,11,71,60,100,30,20,30,60,65,0,0,0,0,0.23,0.41,0.41,0.41,0.41,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.24,0.46,0.31,0.46,0.3,0.26,0.46,0.2,0.13,0.35,,,0.06,,0.33,0.29,0.29,0.29,0.45,0.35,0.45,0.24,0.52,0.53,0.32,0.28,0.4,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Male,18.1,Std 12,85.53%,German,,,0,77,44,44,28,60,20,40,50,50,80,50,0,0,0,0,0.22,0.22,0.14,0.27,0.15,0.38,0.16,0.16,0.21,0.05,0.12,0.27,0.09,0.34,0.31,0.19,0.27,,0.31,0.23,,,,,,,,0.36,0.19,0.1,0.1,0.32,0.34,0.32,0.3,0.38,0.39,0.26,0.21,0.32,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Male,18.8,12,51,,,"drama,vollyball,socialservice...",11,88,77,55,14,40,120,20,20,10,60,20,0,0,0,0,0.15,0.16,,0.22,0.27,0.22,0.06,0.22,0.14,0.16,,0.2,0.12,0.32,0.22,0.07,0.22,,0.1,0.29,,,,0.1,0.1,0.4,,0.35,0.36,0.24,0.28,0.07,0.31,0.05,0.51,0.08,0.07,0.34,0.19,0.08,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Female,42.5,nothing,,Japanese,Every experience is an opportunity,"Painting, writing,  Character building reading, watching movies",66,55,55,55,85,80,140,10,20,10,90,65,0,0,0,0,0.2,0.48,,,0.26,,0.09,0.27,0.19,0.39,0.21,0.42,0.21,,0.3,0.36,0.23,,,0.35,,,,,,0.31,,0.34,0.41,0.39,0.5,0.29,0.41,0.26,0.46,0.31,0.29,0.4,0.28,0.32,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Female,17.4,Std 12-Science,75,German,"Engineer,Architect","Singing,Wildlife photography",77,55,44,0,42,60,40,40,40,70,90,75,0,0,0,0,0.2,0.39,,0.2,0.23,0.45,0.21,0.12,0.23,0.27,,0.3,0.08,,0.29,0.29,0.2,,,0.29,,,,0.28,,0.18,,0.33,0.3,0.26,0.26,0.43,0.29,0.42,0.2,0.49,0.51,0.28,0.28,0.38,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Male,15.8,1oth completed will join 11th ,95.8,German,"Doctor, CA","Swimming, flute, drawing, reading",33,88,33,33,57,60,120,20,20,90,80,80,0,0,0,0,0.24,0.3,0.02,0.27,0.05,0.42,0.15,0.14,0.24,0.13,0.12,0.29,0.14,0.4,0.38,0.29,0.27,,0.42,0.17,,,,,,,,0.44,0.23,0.16,0.15,0.4,0.42,0.39,0.32,0.48,0.48,0.34,0.27,0.36,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Female,17.8,PCMB,94.4,French,Architect,"Reading, writing, dancing, watching American sitcoms",77,44,44,22,28,80,100,30,20,30,90,75,0,0,0,0,0.14,0.51,,0.28,0.26,0.29,0.32,0.08,0.15,0.25,,0.31,0.31,,0.28,0.27,0.28,,,0.32,,,,0.32,,0.23,,0.24,0.27,0.25,0.26,0.45,0.21,0.44,0.15,0.45,0.47,0.2,0.24,0.45,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Female,14.5,yes,82%,French,"doctor, scientist","playing synthesizer, football, basketball, table tennis, solving puzzles, solving mirror, rubik's cubes, watching television",88,55,33,66,14,40,100,10,40,90,90,45,0,0,0,0,0.28,0.48,,,0.53,,0.09,0.25,0.31,0.26,0.17,0.36,0.19,,0.17,0.34,0.17,,,0.52,,,,,,0.57,,0.48,0.41,0.44,0.36,0.19,0.38,0.18,0.32,0.21,0.19,0.41,0.33,0.23,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Male,21,BALLB 3RD YERA,,,Anything with science background,"Travel,Trekking,Photography",77,44,44,33,42,40,20,30,60,30,90,50,0,0,0,0,0.19,0.48,0.15,0.25,0.28,0.28,0.41,0.19,,0.31,,,0.31,,0.28,,0.25,,,0.42,0.26,,,,,,,0.31,0.32,0.39,0.28,0.38,0.23,0.38,0.17,0.37,0.37,0.3,0.24,0.36,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Female,37,,,,,"acting,teaching,conducting kids activities",77,66,22,33,100,40,140,20,10,0,90,35,0,0,0,0,0.24,0.23,0.02,0.11,0.08,0.24,0.1,0.1,0.16,0.2,,0.25,0.09,0.21,0.26,0.21,0.11,0.27,0.29,0.17,0.15,0.1,0.29,0.13,0.24,,0.13,0.48,0.37,0.47,0.36,0.43,0.48,0.44,0.29,0.52,0.5,0.47,0.32,0.38,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Female,20.1,3rd yr engineering ,,Perusing french language ,Nothing as such,"Love travelling. Currently learning French language, ",55,66,100,33,42,80,120,40,0,20,90,40,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,0.39,0.23,0.39,0.28,0.22,0.27,0.44,0.31,0.32,0.24,0.2,0.27,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
